"""community""","""toptags"""
209,"[""p2"",""tcot"",""clinton"",""racism"",""nevertrump"",""blacklivesmatter"",""imwithher"",""maga"",""trump"",""pjnet""]"
191,"[""trump2016"",""wakeupamerica"",""tcot"",""liberallogic"",""blacklivesmatter"",""hillaryforprison"",""debates"",""2a"",""religionofpeace"",""maga""]"
47,"[""tcot"",""maga"",""pjnet"",""islamkills"",""news"",""trump"",""wakeupamerica"",""thingsmoretrustedthanhillary"",""2a"",""ccot""]"
268,"[""thingsyoucantignore"",""survivalguidetothanksgiving"",""valentinesdayin3words"",""2016in4words"",""todolistbeforechristmas"",""giftideasforpoliticians"",""rejecteddebatetopics"",""christmasaftermath"",""secondhandgifts"",""betteralternativetodebates""]"
43,"[""p2"",""sp"",""blacklivesmatter"",""nodapl"",""kendrickjohnson"",""racism"",""tcot"",""debate"",""maga"",""trump""]"
342,"[""electionday"",""election2016"",""uselections2016"",""vote2016"",""electionnight"",""trump"",""podesta10"",""yemen"",""telegram"",""mannequinchallenge""]"
210,"[""maga"",""trump"",""tcot"",""neverhillary"",""trumppence16"",""trump2016"",""pjnet"",""hillary"",""trumptrain"",""hillaryclinton""]"
42,"[""blacklivesmatter"",""nowplaying"",""p2"",""staywoke"",""god"",""news"",""trump"",""np"",""nodapl"",""sp""]"
206,"[""blacklivesmatter"",""policebrutality"",""racism"",""btp"",""blm"",""happybirthdaybeyonce"",""beyonceforpresident"",""michelleobama"",""trump"",""nevertrump""]"
188,"[""makemehateyouinonephrase"",""rejecteddebatetopics"",""trumpsfavoriteheadline"",""idrunforpresidentif"",""ruinadinnerinonephrase"",""ihavearighttoknow"",""sometimesitsokto"",""betteralternativetodebates"",""imtoooldfor"",""thingsnottaughtatschool""]"